 flight_date | plane_tail_number | flight1_arrival_time | flight2_departure_time | origin_city_name |    stop_city_name     | dest_city_name | total_time | total_distance 
 7/1/2018    | N3761R            | 21:42                | 23:24                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        338 |           2794
 7/1/2019    | N922US            | 20:05                | 21:23                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        339 |           2658
 3/1/2018    | N767SW            | 14:37                | 16:13                  | Seattle, WA      | St. Louis, MO         | Boston, MA     |        339 |           2756
 3/1/2016    | N37277            | 08:53                | 10:07                  | Seattle, WA      | Denver, CO            | Boston, MA     |        339 |           2778
 22/1/2017   | N826DN            | 16:51                | 17:56                  | Seattle, WA      | Minneapolis, MN       | Boston, MA     |        340 |           2523
 18/1/2019   | N846DN            | 08:42                | 10:01                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        340 |           2794
 23/1/2018   | N36469            | 16:23                | 17:53                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        341 |           2588
 1/1/2018    | N208WN            | 14:40                | 15:50                  | Seattle, WA      | St. Louis, MO         | Boston, MA     |        341 |           2756
 25/1/2017   | N3753             | 20:46                | 22:44                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        341 |           2794
 2/1/2016    | N562WN            | 21:15                | 22:03                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        342 |           2594
 19/1/2016   | N414UA            | 08:22                | 09:55                  | Seattle, WA      | Denver, CO            | Boston, MA     |        342 |           2778
 22/1/2017   | N3GJAA            | 17:14                | 18:27                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        343 |           2588
 5/1/2018    | N438UA            | 16:23                | 17:50                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        343 |           2588
 17/1/2019   | N77296            | 12:50                | 14:07                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        343 |           2588
 19/1/2019   | N823DN            | 08:59                | 09:58                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        343 |           2794
 8/1/2019    | N823DN            | 08:47                | 10:05                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        343 |           2794
 30/1/2017   | N3LLAA            | 13:57                | 15:16                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        344 |           2588
 25/1/2019   | N470UA            | 15:00                | 15:43                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        345 |           2602
 8/1/2018    | N62894            | 14:56                | 17:40                  | Seattle, WA      | Washington, DC        | Boston, MA     |        345 |           2719
 9/1/2019    | N67812            | 08:51                | 10:10                  | Seattle, WA      | Denver, CO            | Boston, MA     |        345 |           2778
 7/1/2017    | N372DA            | 16:26                | 17:23                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        345 |           2794
 29/1/2016   | N3769L            | 11:03                | 17:11                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        345 |           2794
 9/1/2019    | N803DN            | 08:58                | 09:57                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        345 |           2794
 31/1/2019   | N851DN            | 08:53                | 09:56                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        345 |           2794
 25/1/2017   | N3CBAA            | 17:34                | 18:30                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        346 |           2588
 21/1/2019   | N62884            | 20:00                | 23:16                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        346 |           2588
 28/1/2019   | N921US            | 20:10                | 21:25                  | Seattle, WA      | Philadelphia, PA      | Boston, MA     |        346 |           2658
 22/1/2018   | N3757D            | 21:17                | 23:21                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        346 |           2794
 29/1/2019   | N865DN            | 08:47                | 10:00                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        346 |           2794
 24/1/2017   | N3HDAA            | 17:22                | 18:31                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        347 |           2588
 1/1/2018    | N66814            | 14:03                | 14:59                  | Seattle, WA      | Newark, NJ            | Boston, MA     |        347 |           2602
 17/1/2018   | N37462            | 16:25                | 18:05                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        348 |           2588
 5/1/2016    | N3MKAA            | 06:21                | 08:17                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        348 |           2588
 3/1/2016    | N8302F            | 08:40                | 09:23                  | Seattle, WA      | Denver, CO            | Boston, MA     |        348 |           2778
 16/1/2019   | N861DN            | 08:51                | 09:55                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        348 |           2794
 25/1/2018   | N69806            | 15:08                | 17:01                  | Seattle, WA      | Washington, DC        | Boston, MA     |        349 |           2719
 5/1/2018    | N703SW            | 14:40                | 16:55                  | Seattle, WA      | St. Louis, MO         | Boston, MA     |        349 |           2756
 25/1/2018   | N3731T            | 21:36                | 23:19                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        349 |           2794
 24/1/2019   | N910DU            | 08:36                | 10:22                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        349 |           2794
 11/1/2017   | N37470            | 15:40                | 22:24                  | Seattle, WA      | Washington, DC        | Boston, MA     |        350 |           2719
 8/1/2016    | N69847            | 20:49                | 22:32                  | Seattle, WA      | Washington, DC        | Boston, MA     |        350 |           2719
 21/1/2017   | N377DA            | 17:12                | 18:03                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        350 |           2794
