 plane_tail_number | year |      daily_avg      
 N126HQ            | 2019 |  5.5161290322580645
 N127HQ            | 2018 |  5.1612903225806452
 N128HQ            | 2018 |  5.2258064516129032
 N128HQ            | 2019 |  5.4000000000000000
 N12900            | 2017 |  5.0454545454545455
 N12900            | 2018 |  5.1785714285714286
 N12924            | 2016 |  5.2962962962962963
 N12996            | 2016 |  5.3214285714285714
 N129HQ            | 2018 |  5.3548387096774194
 N129HQ            | 2019 |  5.1428571428571429
 N130HQ            | 2018 |  5.9000000000000000
 N130HQ            | 2019 |  5.5333333333333333
 N131EV            | 2019 |  5.2758620689655172
 N133EV            | 2017 |  5.0666666666666667
 N133HQ            | 2018 |  5.2500000000000000
 N133HQ            | 2019 |  5.1785714285714286
 N134HQ            | 2018 |  5.3666666666666667
 N134HQ            | 2019 |  5.1000000000000000
 N135HQ            | 2018 |  5.8620689655172414
 N135HQ            | 2019 |  5.1923076923076923
 N136HQ            | 2018 |  5.0967741935483871
 N137HQ            | 2018 |  5.3333333333333333
 N138HQ            | 2018 |  5.4482758620689655
 N13903            | 2018 |  5.0344827586206897
 N13908            | 2016 |  5.4482758620689655
 N13914            | 2016 |  5.1785714285714286
 N13975            | 2017 |  5.2333333333333333
 N13978            | 2017 |  5.0689655172413793
 N13988            | 2017 |  5.2333333333333333
 N13988            | 2018 |  5.1666666666666667
 N13992            | 2016 |  5.3214285714285714
 N13992            | 2017 |  5.0322580645161290
 N14542            | 2017 |  5.1612903225806452
 N14558            | 2016 |  5.1071428571428571
 N14568            | 2016 |  5.0370370370370370
 N14568            | 2019 |  5.1904761904761905
 N14570            | 2016 |  5.1600000000000000
 N14573            | 2016 |  5.1666666666666667
 N14904            | 2016 |  5.0384615384615385
 N14904            | 2017 |  5.1153846153846154
 N14905            | 2018 |  5.4516129032258065
 N14916            | 2019 |  5.2580645161290323
 N14920            | 2016 |  5.1034482758620690
 N14923            | 2016 |  5.3333333333333333
 N14923            | 2017 |  5.1200000000000000
 N14977            | 2016 |  5.6666666666666667
 N14991            | 2016 |  5.2413793103448276
 N14991            | 2018 |  5.1578947368421053
 N14993            | 2017 |  5.3103448275862069
 N14993            | 2018 |  5.4137931034482759
 N14998            | 2016 |  5.1785714285714286
 N15527            | 2016 |  5.7586206896551724
 N15527            | 2017 |  5.8666666666666667
 N15574            | 2018 |  5.4333333333333333
 N15983            | 2016 |  5.0322580645161290
 N161PQ            | 2016 |  5.0967741935483871
 N16546            | 2018 |  5.0384615384615385
 N16559            | 2016 |  5.0357142857142857
 N16559            | 2018 |  5.2857142857142857
 N16911            | 2016 |  5.1034482758620690
 N16918            | 2017 |  5.0967741935483871
 N16987            | 2018 |  5.0344827586206897
 N173SY            | 2017 |  5.0322580645161290
 N17560            | 2016 |  5.1000000000000000
 N176SY            | 2017 |  5.1290322580645161
 N176SY            | 2018 |  5.0322580645161290
 N178JB            | 2019 |  5.3000000000000000
 N178SY            | 2019 |  5.3548387096774194
 N17984            | 2016 |  5.0357142857142857
 N17984            | 2019 |  5.3225806451612903
 N179JB            | 2019 |  5.6428571428571429
 N181SY            | 2018 |  5.1333333333333333
 N184JB            | 2016 |  5.3666666666666667
 N184JB            | 2017 |  5.1290322580645161
 N18557            | 2017 |  5.0714285714285714
 N18557            | 2018 |  5.0689655172413793
 N187JB            | 2017 |  6.0000000000000000
 N187JB            | 2018 |  5.1000000000000000
 N187JB            | 2019 |  5.7666666666666667
 N190JB            | 2016 |  5.0333333333333333
 N192JB            | 2019 |  5.1785714285714286
 N192SY            | 2018 |  5.1612903225806452
 N192SY            | 2019 |  5.0357142857142857
 N193JB            | 2017 |  5.8387096774193548
 N193SY            | 2018 |  5.0967741935483871
 N19554            | 2019 |  5.0344827586206897
 N195SY            | 2018 |  5.2580645161290323
 N197JB            | 2017 |  5.3225806451612903
 N197PQ            | 2018 |  5.0344827586206897
 N198JB            | 2016 |  5.0666666666666667
 N198JB            | 2017 |  5.1333333333333333
 N198JB            | 2018 |  5.5333333333333333
 N198JB            | 2019 |  5.0689655172413793
 N200WN            | 2016 |  5.1379310344827586
 N200WN            | 2017 |  5.0967741935483871
 N200WN            | 2018 |  5.6000000000000000
 N200WN            | 2019 |  6.0322580645161290
 N201JQ            | 2019 |  5.0333333333333333
 N201LV            | 2016 |  5.3448275862068966
 N201LV            | 2017 |  5.3076923076923077
 N201LV            | 2018 |  5.9032258064516129
 N201LV            | 2019 |  5.5483870967741935
 N202PS            | 2018 |  5.0967741935483871
 N202WN            | 2017 |  5.5806451612903226
 N202WN            | 2018 |  5.4193548387096774
 N203JB            | 2017 |  5.5161290322580645
 N203JB            | 2019 |  5.1612903225806452
 N203WN            | 2017 |  5.1333333333333333
 N203WN            | 2018 |  5.2258064516129032
 N203WN            | 2019 |  5.3103448275862069
 N204JQ            | 2019 |  5.1724137931034483
 N204WN            | 2016 |  5.2258064516129032
 N204WN            | 2017 |  5.5806451612903226
 N204WN            | 2018 |  5.6774193548387097
 N204WN            | 2019 |  5.9032258064516129
 N205WN            | 2016 |  5.1612903225806452
 N205WN            | 2017 |  6.2857142857142857
 N205WN            | 2018 |  5.6774193548387097
 N205WN            | 2019 |  5.3548387096774194
 N206JB            | 2016 |  5.4137931034482759
 N206PS            | 2018 |  5.0645161290322581
 N206PS            | 2019 |  5.4827586206896552
 N206WN            | 2016 |  5.4838709677419355
 N206WN            | 2017 |  5.2727272727272727
 N206WN            | 2018 |  5.5483870967741935
 N206WN            | 2019 |  5.7272727272727273
 N207PS            | 2018 |  5.5000000000000000
 N207PS            | 2019 |  5.4193548387096774
 N207WN            | 2016 |  5.8000000000000000
 N207WN            | 2017 |  5.5161290322580645
 N207WN            | 2018 |  5.4666666666666667
 N207WN            | 2019 |  5.4400000000000000
 N208WN            | 2016 |  5.3793103448275862
 N208WN            | 2017 |  5.6666666666666667
 N208WN            | 2018 |  5.7096774193548387
 N208WN            | 2019 |  5.2333333333333333
 N209PS            | 2019 |  5.5666666666666667
 N209WN            | 2016 |  5.4000000000000000
 N209WN            | 2017 |  5.3214285714285714
 N209WN            | 2018 |  5.1935483870967742
 N209WN            | 2019 |  5.9032258064516129
 N210WN            | 2016 |  5.7741935483870968
 N210WN            | 2017 |  5.4166666666666667
 N210WN            | 2018 |  5.2333333333333333
 N210WN            | 2019 |  5.5833333333333333
 N211WN            | 2016 |  5.2903225806451613
 N211WN            | 2017 |  6.0000000000000000
 N211WN            | 2018 |  5.7241379310344828
 N211WN            | 2019 |  5.1875000000000000
 N212WN            | 2016 |  5.4838709677419355
 N212WN            | 2017 |  5.0967741935483871
 N212WN            | 2018 |  5.2258064516129032
 N212WN            | 2019 |  5.9655172413793103
 N213PS            | 2018 |  5.1724137931034483
 N213PS            | 2019 |  5.1034482758620690
 N213WN            | 2016 |  5.8275862068965517
 N213WN            | 2018 |  5.7419354838709677
 N213WN            | 2019 |  5.6666666666666667
 N214WN            | 2016 |  5.2333333333333333
 N214WN            | 2017 |  5.1034482758620690
 N214WN            | 2018 |  5.7333333333333333
 N214WN            | 2019 |  5.7666666666666667
 N215JQ            | 2019 |  5.4000000000000000
 N215PS            | 2018 |  5.4285714285714286
 N215PS            | 2019 |  5.6666666666666667
 N215WN            | 2016 |  5.2580645161290323
 N215WN            | 2017 |  5.2500000000000000
 N215WN            | 2018 |  5.8709677419354839
 N215WN            | 2019 |  5.2000000000000000
 N216AG            | 2016 |  5.1000000000000000
 N216JB            | 2019 |  5.2000000000000000
 N216JQ            | 2019 |  5.2000000000000000
 N216PS            | 2018 |  5.4827586206896552
 N216PS            | 2019 |  5.0967741935483871
 N216WR            | 2016 |  5.0967741935483871
 N216WR            | 2017 |  5.1724137931034483
 N216WR            | 2018 |  5.6000000000000000
 N216WR            | 2019 |  5.2580645161290323
 N217AG            | 2016 |  5.3548387096774194
 N217AG            | 2017 |  8.1875000000000000
 N217JC            | 2016 |  5.2903225806451613
 N217JC            | 2017 |  5.5483870967741935
 N217JC            | 2018 |  5.8333333333333333
 N217JC            | 2019 |  5.1666666666666667
 N218AG            | 2016 |  5.4516129032258065
 N218PS            | 2018 |  5.6666666666666667
 N218WN            | 2016 |  5.5806451612903226
 N218WN            | 2017 |  6.2258064516129032
 N218WN            | 2018 |  5.5161290322580645
 N218WN            | 2019 |  5.2580645161290323
 N219WN            | 2016 |  5.4285714285714286
 N219WN            | 2018 |  5.2000000000000000
 N219WN            | 2019 |  5.9354838709677419
 N220PS            | 2018 |  5.7741935483870968
 N220PS            | 2019 |  5.3870967741935484
 N220WN            | 2016 |  5.4666666666666667
 N220WN            | 2017 |  5.4838709677419355
 N220WN            | 2018 |  5.3103448275862069
 N220WN            | 2019 |  5.3225806451612903
 N221PS            | 2018 |  5.1379310344827586
 N221WN            | 2016 |  5.2068965517241379
 N221WN            | 2017 |  5.2903225806451613
 N221WN            | 2018 |  6.0344827586206897
 N221WN            | 2019 |  5.0645161290322581
 N222WN            | 2017 |  5.7666666666666667
 N222WN            | 2018 |  5.8620689655172414
 N222WN            | 2019 |  5.6774193548387097
 N223AG            | 2016 |  5.3333333333333333
 N223JS            | 2019 |  5.2962962962962963
 N223WN            | 2016 |  5.4333333333333333
 N223WN            | 2017 |  5.4516129032258065
 N223WN            | 2018 |  5.9677419354838710
 N223WN            | 2019 |  5.4333333333333333
 N224AG            | 2016 |  5.1935483870967742
 N224WN            | 2017 |  5.2258064516129032
 N224WN            | 2018 |  5.6000000000000000
 N225AG            | 2016 |  5.0333333333333333
 N225WN            | 2016 |  5.7419354838709677
 N225WN            | 2017 |  5.4666666666666667
 N225WN            | 2018 |  5.9677419354838710
 N225WN            | 2019 |  5.2068965517241379
 N226JS            | 2018 |  5.5714285714285714
 N226JS            | 2019 |  5.3548387096774194
 N226WN            | 2016 |  5.2580645161290323
 N226WN            | 2017 |  5.3225806451612903
 N226WN            | 2018 |  5.4666666666666667
 N227WN            | 2016 |  5.4482758620689655
 N227WN            | 2018 |  5.5000000000000000
 N227WN            | 2019 |  5.4516129032258065
 N228JB            | 2018 |  5.0322580645161290
 N228JB            | 2019 |  5.6000000000000000
 N228NN            | 2019 |  5.2000000000000000
 N228PS            | 2018 |  5.4193548387096774
 N228PS            | 2019 |  5.2903225806451613
 N228WN            | 2016 |  5.0967741935483871
 N228WN            | 2017 |  5.2413793103448276
 N228WN            | 2018 |  5.3666666666666667
 N228WN            | 2019 |  5.5806451612903226
 N229JB            | 2016 |  5.7666666666666667
 N229JB            | 2019 |  5.3666666666666667
 N229PS            | 2018 |  5.7333333333333333
 N229PS            | 2019 |  5.1333333333333333
 N229WN            | 2016 |  5.3225806451612903
 N229WN            | 2018 |  6.0322580645161290
 N229WN            | 2019 |  5.1935483870967742
 N230PS            | 2018 |  6.1481481481481481
 N230PS            | 2019 |  5.9354838709677419
 N230WN            | 2016 |  5.3076923076923077
 N230WN            | 2017 |  5.0967741935483871
 N230WN            | 2018 |  5.5806451612903226
 N230WN            | 2019 |  5.6129032258064516
 N231JB            | 2018 |  5.5666666666666667
 N231WN            | 2017 |  5.2333333333333333
 N231WN            | 2018 |  5.8064516129032258
 N231WN            | 2019 |  5.9333333333333333
 N232WN            | 2018 |  5.1000000000000000
 N232WN            | 2019 |  5.0322580645161290
 N233LV            | 2016 |  5.1600000000000000
 N233LV            | 2018 |  5.2400000000000000
 N233LV            | 2019 |  5.6451612903225806
 N234JW            | 2018 |  5.1034482758620690
 N234WN            | 2016 |  5.1818181818181818
 N234WN            | 2017 |  5.0666666666666667
 N234WN            | 2018 |  5.2580645161290323
 N234WN            | 2019 |  5.3000000000000000
 N235WN            | 2016 |  5.7666666666666667
 N235WN            | 2017 |  5.4193548387096774
 N235WN            | 2018 |  5.6666666666666667
 N236WN            | 2016 |  5.1428571428571429
 N236WN            | 2017 |  5.1290322580645161
 N236WN            | 2018 |  5.6896551724137931
 N236WN            | 2019 |  5.3225806451612903
 N237PS            | 2018 |  5.4285714285714286
 N237PS            | 2019 |  5.6129032258064516
 N237WN            | 2016 |  5.2142857142857143
 N237WN            | 2019 |  5.5806451612903226
 N238JB            | 2017 |  5.1333333333333333
 N238JB            | 2019 |  5.5806451612903226
 N238WN            | 2016 |  5.7419354838709677
 N238WN            | 2018 |  5.8800000000000000
 N239JB            | 2016 |  5.4516129032258065
 N239WN            | 2017 |  5.2258064516129032
 N239WN            | 2018 |  5.0645161290322581
 N239WN            | 2019 |  5.1034482758620690
 N240SY            | 2018 |  5.6451612903225806
 N240SY            | 2019 |  5.1612903225806452
 N240WN            | 2016 |  5.6129032258064516
 N240WN            | 2018 |  5.9032258064516129
 N240WN            | 2019 |  5.2903225806451613
 N241PS            | 2018 |  5.5333333333333333
 N241PS            | 2019 |  5.6296296296296296
 N241SY            | 2018 |  5.3870967741935484
 N241SY            | 2019 |  5.3870967741935484
 N241WN            | 2016 |  5.2000000000000000
 N241WN            | 2018 |  6.1428571428571429
 N241WN            | 2019 |  5.3448275862068966
 N242JS            | 2018 |  5.5161290322580645
 N242JS            | 2019 |  5.3666666666666667
 N242LR            | 2019 |  5.1000000000000000
 N242SY            | 2018 |  5.8064516129032258
 N242SY            | 2019 |  5.2666666666666667
 N242WN            | 2016 |  5.4666666666666667
 N242WN            | 2017 |  5.7741935483870968
 N242WN            | 2018 |  5.2500000000000000
 N242WN            | 2019 |  6.0645161290322581
 N243LR            | 2019 |  5.2142857142857143
 N243SY            | 2018 |  5.7333333333333333
 N243SY            | 2019 |  5.4827586206896552
 N243WN            | 2017 |  5.1935483870967742
 N243WN            | 2018 |  5.3000000000000000
 N243WN            | 2019 |  5.5806451612903226
 N244LR            | 2019 |  6.0384615384615385
 N244PS            | 2018 |  5.5000000000000000
 N244PS            | 2019 |  5.5666666666666667
 N244SY            | 2017 |  5.0967741935483871
 N244SY            | 2018 |  5.5483870967741935
 N244SY            | 2019 |  5.3000000000000000
 N244WN            | 2016 |  5.3448275862068966
 N244WN            | 2017 |  5.3870967741935484
 N244WN            | 2018 |  5.7419354838709677
 N244WN            | 2019 |  5.4137931034482759
 N245LR            | 2019 |  5.6451612903225806
 N245PS            | 2018 |  5.2727272727272727
 N245PS            | 2019 |  5.4285714285714286
 N245WN            | 2016 |  5.0967741935483871
 N245WN            | 2017 |  5.3548387096774194
 N245WN            | 2018 |  5.9666666666666667
 N245WN            | 2019 |  5.2666666666666667
 N246LR            | 2019 |  5.5172413793103448
 N246LV            | 2017 |  5.5806451612903226
 N246LV            | 2018 |  5.2666666666666667
 N246LV            | 2019 |  5.2580645161290323
 N246PS            | 2018 |  5.5483870967741935
 N246PS            | 2019 |  5.9354838709677419
 N246SY            | 2018 |  5.3225806451612903
 N246SY            | 2019 |  5.2258064516129032
 N247JB            | 2016 |  5.3870967741935484
 N247JB            | 2017 |  5.2580645161290323
 N247JB            | 2018 |  5.3666666666666667
 N247JS            | 2018 |  5.7407407407407407
 N247JS            | 2019 |  5.1379310344827586
